sort_order;form_uid;form_group;category_code;category_title;title;version;file_name;relative_path;page_count;is_fillable;is_all_in_one;sensitivity;status;crm_use;reporting_export;sha256_hash;notes
11;RAI-FRM-GDPR-011;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Pracovník / mentor - mlčenlivost;v1.3;RAI-FRM-GDPR-011_PRACOVNIK_MENTOR_MLCENLIVOST_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-011_PRACOVNIK_MENTOR_MLCENLIVOST_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;55950ad5a9069a245e5821f39ec1deb3ee4ffddf8852e1136f8781bbce78d804;GDPR formulář s přiděleným ID a čárovým kódem
12;RAI-FRM-GDPR-012;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Partner / externí subjekt;v1.3;RAI-FRM-GDPR-012_PARTNER_EXTERNI_SUBJEKT_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-012_PARTNER_EXTERNI_SUBJEKT_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;7a8df71cfcc89ad7c74d73ee345517e3c4369c53a16dfa089e21b7b37825f786;GDPR formulář s přiděleným ID a čárovým kódem
13;RAI-FRM-GDPR-013;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Odvolání nebo omezení souhlasu;v1.3;RAI-FRM-GDPR-013_ODVOLANI_NEBO_OMEZENI_SOUHLASU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-013_ODVOLANI_NEBO_OMEZENI_SOUHLASU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;ba4fd3aacbb961365901a99a571d3b50c89871a821d91ac6812cdd71df6cdf0a;GDPR formulář s přiděleným ID a čárovým kódem
14;RAI-FRM-GDPR-014;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Žádost subjektu údajů;v1.3;RAI-FRM-GDPR-014_ZADOST_SUBJEKTU_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-014_ZADOST_SUBJEKTU_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;888a93f5f89d29d76bded43487814229614dcd60e860eceef2f773afa501b6bd;GDPR formulář s přiděleným ID a čárovým kódem
15;RAI-FRM-GDPR-015;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Záznam o incidentu;v1.3;RAI-FRM-GDPR-015_ZAZNAM_O_INCIDENTU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-015_ZAZNAM_O_INCIDENTU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;02e65686e32151b87be6678a2b7a8777163487d4cfce8507f490f60558d7a641;GDPR formulář s přiděleným ID a čárovým kódem
16;RAI-FRM-GDPR-016;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Anonymizační a donor/export karta;v1.3;RAI-FRM-GDPR-016_ANONYMIZACNI_DONOR_EXPORT_KARTA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-016_ANONYMIZACNI_DONOR_EXPORT_KARTA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;83a5b9d53fad47d6fbc78b039d3a08de334d41f00cf3912babc4a9911af55977;GDPR formulář s přiděleným ID a čárovým kódem
17;RAI-FRM-GDPR-017;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Archivace, skartace a přístupy;v1.3;RAI-FRM-GDPR-017_ARCHIVACE_SKARTACE_PRISTUPY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-017_ARCHIVACE_SKARTACE_PRISTUPY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;f201f10335cf3f76d12ed2d6b75e32839b50ba2323a9977fde410bb032b8bdd8;GDPR formulář s přiděleným ID a čárovým kódem
18;RAI-FRM-KLI-001;KLI;02_KLIENTSKA_SLOZKA;Klientská složka;Intake form;v1.5;RAI-FRM-KLI-001_INTAKE_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;02_KLIENTSKA_SLOZKA/RAI-FRM-KLI-001_INTAKE_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;8;1;0;high;active;1;0;949cef2e924c9feb7b10138da9ef06ce13bfc61cc8da256cb9dfbecb2d2adf76;
19;RAI-FRM-KLI-002;KLI;02_KLIENTSKA_SLOZKA;Klientská složka;Kniha klienta;v1.6;RAI-FRM-KLI-002_KNIHA_KLIENTA_FILLABLE_v1_6_COMPACT_CONTENT_LOCKED.pdf;02_KLIENTSKA_SLOZKA/RAI-FRM-KLI-002_KNIHA_KLIENTA_FILLABLE_v1_6_COMPACT_CONTENT_LOCKED.pdf;10;1;0;high;active;1;0;e831f4c0d306f45226c216a0af0e780e13dfa427bd7790323ddd6f8ae5cb36c9;
20;RAI-FRM-KLI-003;KLI;02_KLIENTSKA_SLOZKA;Klientská složka;Exit form;v1.5;RAI-FRM-KLI-003_EXIT_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;02_KLIENTSKA_SLOZKA/RAI-FRM-KLI-003_EXIT_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;7;1;0;high;active;1;0;ac7360932b6c32366b9f60280841b3b6217dda30aaff4fddb69ecdb18bfac641;
