form_uid;title;category_code;relative_path;barcode_action;barcode_position;barcode_reason;sha256_hash
RAI-FRM-GDPR-016;Anonymizační a donor/export karta;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-016_ANONYMIZACNI_DONOR_EXPORT_KARTA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;83a5b9d53fad47d6fbc78b039d3a08de334d41f00cf3912babc4a9911af55977
RAI-FRM-GDPR-017;Archivace, skartace a přístupy;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-017_ARCHIVACE_SKARTACE_PRISTUPY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;f201f10335cf3f76d12ed2d6b75e32839b50ba2323a9977fde410bb032b8bdd8
RAI-FRM-KLI-001;Intake form;02_KLIENTSKA_SLOZKA;02_KLIENTSKA_SLOZKA/RAI-FRM-KLI-001_INTAKE_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;4044750465ba6b9f5859d958d91455a268d987cb9cc40eaa5753a900686db4eb
RAI-FRM-KLI-002;Kniha klienta;02_KLIENTSKA_SLOZKA;02_KLIENTSKA_SLOZKA/RAI-FRM-KLI-002_KNIHA_KLIENTA_FILLABLE_v1_6_COMPACT_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;0c6a8e9c555c02bc43b18260cd2debf6d05011cf667a7e54d0ed05cb3a908ffd
RAI-FRM-KLI-003;Exit form;02_KLIENTSKA_SLOZKA;02_KLIENTSKA_SLOZKA/RAI-FRM-KLI-003_EXIT_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;ee30fc407e8ba00491dee74713cd0c6d30c68b72899249b8222571d224aa3626
RAI-FRM-JB-001;JAILBREAK dotazník;09_PROGRAMOVE_PRILOHY;09_PROGRAMOVE_PRILOHY/RAI-FRM-JB-001_JAILBREAK_DOTAZNIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;d2c8ab2e41fe56fd741991f169a59ca3348c1002e846b8dab4e2535779216cbe
RAI-FRM-INT-001;Kniha intervencí;03_INTERVENCE;03_INTERVENCE/RAI-FRM-INT-001_KNIHA_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;98c626c42a3f046fb78e3d7951781f18afec0d359c4b8959340bb03a5f4a4a3c
RAI-FRM-KRZ-001;Kniha krizových intervencí;04_KRIZOVY_REZIM;04_KRIZOVY_REZIM/RAI-FRM-KRZ-001_KNIHA_KRIZOVYCH_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;35cb058c1721c2242175c10f56c9762efd374591f42d4bd7ed850c3344ec5b40
RAI-FRM-KRZ-002;Krizový formulář;04_KRIZOVY_REZIM;04_KRIZOVY_REZIM/RAI-FRM-KRZ-002_KRIZOVY_FORMULAR_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;b5277f32e54fe7cd915e7f29caa78c9677cbe90f2027efe5895d8d19f0b01fd6
RAI-FRM-EVA-001;Stabilizační index;05_EVALUACE_A_FOLLOW_UP;05_EVALUACE_A_FOLLOW_UP/RAI-FRM-EVA-001_STABILIZACNI_INDEX_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;c1d42c556a9f55459669d95eea4b52a724eadd29c11cc6cfce6f5dead422cc8c
