sort_order;form_uid;form_group;category_code;category_title;title;version;file_name;relative_path;page_count;is_fillable;is_all_in_one;sensitivity;status;crm_use;reporting_export;sha256_hash;notes;barcode_action;barcode_position;barcode_reason
11;RAI-FRM-GDPR-011;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Pracovník / mentor - mlčenlivost;v1.3;RAI-FRM-GDPR-011_PRACOVNIK_MENTOR_MLCENLIVOST_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-011_PRACOVNIK_MENTOR_MLCENLIVOST_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;55950ad5a9069a245e5821f39ec1deb3ee4ffddf8852e1136f8781bbce78d804;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
12;RAI-FRM-GDPR-012;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Partner / externí subjekt;v1.3;RAI-FRM-GDPR-012_PARTNER_EXTERNI_SUBJEKT_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-012_PARTNER_EXTERNI_SUBJEKT_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;7a8df71cfcc89ad7c74d73ee345517e3c4369c53a16dfa089e21b7b37825f786;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
13;RAI-FRM-GDPR-013;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Odvolání nebo omezení souhlasu;v1.3;RAI-FRM-GDPR-013_ODVOLANI_NEBO_OMEZENI_SOUHLASU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-013_ODVOLANI_NEBO_OMEZENI_SOUHLASU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;ba4fd3aacbb961365901a99a571d3b50c89871a821d91ac6812cdd71df6cdf0a;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
14;RAI-FRM-GDPR-014;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Žádost subjektu údajů;v1.3;RAI-FRM-GDPR-014_ZADOST_SUBJEKTU_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-014_ZADOST_SUBJEKTU_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;888a93f5f89d29d76bded43487814229614dcd60e860eceef2f773afa501b6bd;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
15;RAI-FRM-GDPR-015;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Záznam o incidentu;v1.3;RAI-FRM-GDPR-015_ZAZNAM_O_INCIDENTU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-015_ZAZNAM_O_INCIDENTU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;02e65686e32151b87be6678a2b7a8777163487d4cfce8507f490f60558d7a641;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
16;RAI-FRM-GDPR-016;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Anonymizační a donor/export karta;v1.3;RAI-FRM-GDPR-016_ANONYMIZACNI_DONOR_EXPORT_KARTA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-016_ANONYMIZACNI_DONOR_EXPORT_KARTA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;83a5b9d53fad47d6fbc78b039d3a08de334d41f00cf3912babc4a9911af55977;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
17;RAI-FRM-GDPR-017;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Archivace, skartace a přístupy;v1.3;RAI-FRM-GDPR-017_ARCHIVACE_SKARTACE_PRISTUPY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-017_ARCHIVACE_SKARTACE_PRISTUPY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;f201f10335cf3f76d12ed2d6b75e32839b50ba2323a9977fde410bb032b8bdd8;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
18;RAI-FRM-KLI-001;KLI;02_KLIENTSKA_SLOZKA;Klientská složka;Intake form;v1.5;RAI-FRM-KLI-001_INTAKE_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;02_KLIENTSKA_SLOZKA/RAI-FRM-KLI-001_INTAKE_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;8;1;0;high;active;1;0;4044750465ba6b9f5859d958d91455a268d987cb9cc40eaa5753a900686db4eb;nan | barcode_release_v1_2;added;top_right;main portrait form layout
19;RAI-FRM-KLI-002;KLI;02_KLIENTSKA_SLOZKA;Klientská složka;Kniha klienta;v1.6;RAI-FRM-KLI-002_KNIHA_KLIENTA_FILLABLE_v1_6_COMPACT_CONTENT_LOCKED.pdf;02_KLIENTSKA_SLOZKA/RAI-FRM-KLI-002_KNIHA_KLIENTA_FILLABLE_v1_6_COMPACT_CONTENT_LOCKED.pdf;10;1;0;high;active;1;0;0c6a8e9c555c02bc43b18260cd2debf6d05011cf667a7e54d0ed05cb3a908ffd;nan | barcode_release_v1_2;added;top_right;main portrait form layout
20;RAI-FRM-KLI-003;KLI;02_KLIENTSKA_SLOZKA;Klientská složka;Exit form;v1.5;RAI-FRM-KLI-003_EXIT_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;02_KLIENTSKA_SLOZKA/RAI-FRM-KLI-003_EXIT_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;7;1;0;high;active;1;0;ee30fc407e8ba00491dee74713cd0c6d30c68b72899249b8222571d224aa3626;nan | barcode_release_v1_2;added;top_right;main portrait form layout
21;RAI-FRM-JB-001;JB;09_PROGRAMOVE_PRILOHY;Programové přílohy;JAILBREAK dotazník;v1.5;RAI-FRM-JB-001_JAILBREAK_DOTAZNIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;09_PROGRAMOVE_PRILOHY/RAI-FRM-JB-001_JAILBREAK_DOTAZNIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;9;1;0;high;active;1;0;d2c8ab2e41fe56fd741991f169a59ca3348c1002e846b8dab4e2535779216cbe;Doplněno ve v1.1 | barcode_release_v1_2;added;top_right;main portrait form layout
22;RAI-FRM-INT-001;INT;03_INTERVENCE;Intervence;Kniha intervencí;v1.5;RAI-FRM-INT-001_KNIHA_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;03_INTERVENCE/RAI-FRM-INT-001_KNIHA_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;8;1;0;high;active;1;0;98c626c42a3f046fb78e3d7951781f18afec0d359c4b8959340bb03a5f4a4a3c;nan | barcode_release_v1_2;added;top_right;main portrait form layout
23;RAI-FRM-KRZ-001;KRZ;04_KRIZOVY_REZIM;Krizový režim;Kniha krizových intervencí;v1.5;RAI-FRM-KRZ-001_KNIHA_KRIZOVYCH_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;04_KRIZOVY_REZIM/RAI-FRM-KRZ-001_KNIHA_KRIZOVYCH_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;8;1;0;restricted;active;1;0;35cb058c1721c2242175c10f56c9762efd374591f42d4bd7ed850c3344ec5b40;nan | barcode_release_v1_2;added;top_right;main portrait form layout
24;RAI-FRM-KRZ-002;KRZ;04_KRIZOVY_REZIM;Krizový režim;Krizový formulář;v1.5;RAI-FRM-KRZ-002_KRIZOVY_FORMULAR_FILLABLE_v1_5_CONTENT_LOCKED.pdf;04_KRIZOVY_REZIM/RAI-FRM-KRZ-002_KRIZOVY_FORMULAR_FILLABLE_v1_5_CONTENT_LOCKED.pdf;7;1;0;restricted;active;1;0;b5277f32e54fe7cd915e7f29caa78c9677cbe90f2027efe5895d8d19f0b01fd6;Převedeno podle finálních pravidel v1.5 | barcode_release_v1_2;added;top_right;main portrait form layout
25;RAI-FRM-EVA-001;EVA;05_EVALUACE_A_FOLLOW_UP;Evaluace a follow-up;Stabilizační index;v1.5;RAI-FRM-EVA-001_STABILIZACNI_INDEX_FILLABLE_v1_5_CONTENT_LOCKED.pdf;05_EVALUACE_A_FOLLOW_UP/RAI-FRM-EVA-001_STABILIZACNI_INDEX_FILLABLE_v1_5_CONTENT_LOCKED.pdf;7;1;0;high;active;1;1;c1d42c556a9f55459669d95eea4b52a724eadd29c11cc6cfce6f5dead422cc8c;Exportovat anonymizovaně | barcode_release_v1_2;added;top_right;main portrait form layout
26;RAI-FRM-EVA-002;EVA;05_EVALUACE_A_FOLLOW_UP;Evaluace a follow-up;Follow-up tracking;v1.5;RAI-FRM-EVA-002_FOLLOW_UP_TRACKING_FILLABLE_v1_5_CONTENT_LOCKED.pdf;05_EVALUACE_A_FOLLOW_UP/RAI-FRM-EVA-002_FOLLOW_UP_TRACKING_FILLABLE_v1_5_CONTENT_LOCKED.pdf;7;1;0;high;active;1;1;14876b62c3b2dfcb980ed108174a2d7f406b80836f5dfdd8dd89464eb7df331f;Exportovat anonymizovaně | barcode_release_v1_2;added;top_right;main portrait form layout
27;RAI-FRM-ETY-001;ETY;07_ETIKA_A_TYM;Etika a tým;Mlčenlivost a etický závazek týmu;v1.5;RAI-FRM-ETY-001_MLCENLIVOST_ETICKY_ZAVAZEK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;07_ETIKA_A_TYM/RAI-FRM-ETY-001_MLCENLIVOST_ETICKY_ZAVAZEK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;6;1;0;internal;active;1;0;13c096062f1e37433aba257d0310610dd45a7cbb102dfdcba1f201aeb01c50b4;nan | barcode_release_v1_2;added;top_right;main portrait form layout
28;RAI-FRM-REG-001;REG;06_REGISTRY;Registry;Registr dobrovolníků;v1.5;RAI-FRM-REG-001_REGISTR_DOBROVOLNIKU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;06_REGISTRY/RAI-FRM-REG-001_REGISTR_DOBROVOLNIKU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;5;1;0;internal;active;1;0;230c7e65cb80448020c6faf48c356030538a567b3aac5ce0140cee72dc7cfbe4;Registry v1.7 | barcode_release_v1_2;added;top_right;main portrait form layout
29;RAI-FRM-REG-002;REG;06_REGISTRY;Registry;Evidence komunitních aktivit;v1.5;RAI-FRM-REG-002_EVIDENCE_KOMUNITNICH_AKTIVIT_FILLABLE_v1_5_CONTENT_LOCKED.pdf;06_REGISTRY/RAI-FRM-REG-002_EVIDENCE_KOMUNITNICH_AKTIVIT_FILLABLE_v1_5_CONTENT_LOCKED.pdf;5;1;0;internal;active;1;0;1e9cb99ee4020b917b2e5714d9d885e12ca6aa9d954a060fae3c3ebaf1c73113;Registry v1.7 | barcode_release_v1_2;added;top_right;main portrait form layout
30;RAI-FRM-REG-003;REG;06_REGISTRY;Registry;Registr partnerů;v1.5;RAI-FRM-REG-003_REGISTR_PARTNERU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;06_REGISTRY/RAI-FRM-REG-003_REGISTR_PARTNERU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;4;1;0;internal;active;1;0;73ba6a466dc1fd26e97ef10336259a90a05fa723375431bada7f5327e1a94561;Registry v1.7 | barcode_release_v1_2;added;top_right;main portrait form layout
31;RAI-FRM-REG-004;REG;06_REGISTRY;Registry;Registr rizik;v1.5;RAI-FRM-REG-004_REGISTR_RIZIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;06_REGISTRY/RAI-FRM-REG-004_REGISTR_RIZIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;5;1;0;internal;active;1;0;a2fe7e2014204ba1b8d102568222f38016d698e05a44cd7bdece910dd65b5e29;Registry v1.7 | barcode_release_v1_2;added;top_right;main portrait form layout
32;RAI-FRM-REG-005;REG;06_REGISTRY;Registry;Registr stížností;v1.5;RAI-FRM-REG-005_REGISTR_STIZNOSTI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;06_REGISTRY/RAI-FRM-REG-005_REGISTR_STIZNOSTI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;4;1;0;high;active;1;0;b126c53a85941c047170252a23d98a5da14a6e04f3b99ea229a7cfaef4537afb;Registry v1.7 | barcode_release_v1_2;added;top_right;main portrait form layout
33;RAI-AIO-REG-001;AIO;99_ALL_IN_ONE_VOLITELNE;ALL-IN-ONE volitelné;Registry ALL-IN-ONE;v1.7;RAI-AIO-REG-001_REGISTRY_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf;99_ALL_IN_ONE_VOLITELNE/RAI-AIO-REG-001_REGISTRY_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf;23;1;1;internal;active;0;0;7426ca1d7691cdd619c2fc304bf64de3a0e91b875ca233ee4c491bf1ca662a56;Volitelný souhrnný PDF balík | barcode_release_v1_2;added;bottom_left;all-in-one portrait bundle layout
34;RAI-FRM-DOP-001;DOP;08_DOPLNKOVE_LISTY;Doplňkové listy;List incidentů;v1.7;RAI-FRM-DOP-001_LIST_INCIDENTU_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;08_DOPLNKOVE_LISTY/RAI-FRM-DOP-001_LIST_INCIDENTU_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;430dbf6d0508e574950561f61a3e1f6f6f52310189b4fd32526fb9c46564e6f7;Doplňkový A4 landscape list | barcode_release_v1_2;added;top_right;landscape or supplemental A4 layout
35;RAI-FRM-DOP-002;DOP;08_DOPLNKOVE_LISTY;Doplňkové listy;List hranic podpory;v1.7;RAI-FRM-DOP-002_LIST_HRANIC_PODPORY_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;08_DOPLNKOVE_LISTY/RAI-FRM-DOP-002_LIST_HRANIC_PODPORY_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;fa39e99f61ba904f566150259d8281396c931841c792d2328e2474543080b64b;Doplňkový A4 landscape list | barcode_release_v1_2;added;top_right;landscape or supplemental A4 layout
36;RAI-AIO-DOP-001;AIO;99_ALL_IN_ONE_VOLITELNE;ALL-IN-ONE volitelné;Doplňkové listy ALL-IN-ONE;v1.7;RAI-AIO-DOP-001_DOPLNKOVE_LISTY_INCIDENTY_HRANICE_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf;99_ALL_IN_ONE_VOLITELNE/RAI-AIO-DOP-001_DOPLNKOVE_LISTY_INCIDENTY_HRANICE_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf;2;1;1;internal;active;0;0;60d731371a04827f14268357fb0d5676649f475feb06cc91bbebf00cbd7369d1;Volitelný souhrnný PDF balík | barcode_release_v1_2;added;top_right;landscape or supplemental A4 layout
37;RAI-DOC-PROJ-001;DOC;10_METODIKY_A_PODKLADY;Metodiky a podklady;One-page projektu;v1.5;RAI-DOC-PROJ-001_ONE_PAGE_PROJEKT_2026_v1_5_CONTENT_LOCKED.pdf;10_METODIKY_A_PODKLADY/RAI-DOC-PROJ-001_ONE_PAGE_PROJEKT_2026_v1_5_CONTENT_LOCKED.pdf;1;0;0;public;active;0;1;a0312aba9d112ff3a01e4cfea5f83bd7f074a71791a5984ba152d823301b09e2;Veřejný/partnerský podklad | barcode_release_v1_2;added;bottom_left;document/metodika cover layout
38;RAI-MET-JB-001;MET;10_METODIKY_A_PODKLADY;Metodiky a podklady;Metodika JAILBREAK;v1.5;RAI-MET-JB-001_METODIKA_JAILBREAK_v1_5_CONTENT_LOCKED.pdf;10_METODIKY_A_PODKLADY/RAI-MET-JB-001_METODIKA_JAILBREAK_v1_5_CONTENT_LOCKED.pdf;6;0;0;internal;active;0;0;0c4a8c242557b816b70eed2aa65dea4a56ce899df74be338b0574e26eaa590fc;Metodický podklad | barcode_release_v1_2;added;bottom_left;document/metodika cover layout
