form_uid;nazev;kategorie;verze;soubor
RAI-FRM-REG-002;Evidence komunitních aktivit;06_REGISTRY;v1.5;RAI-FRM-REG-002_EVIDENCE_KOMUNITNICH_AKTIVIT_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-REG-003;Registr partnerů;06_REGISTRY;v1.5;RAI-FRM-REG-003_REGISTR_PARTNERU_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-REG-004;Registr rizik;06_REGISTRY;v1.5;RAI-FRM-REG-004_REGISTR_RIZIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-REG-005;Registr stížností;06_REGISTRY;v1.5;RAI-FRM-REG-005_REGISTR_STIZNOSTI_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-AIO-REG-001;Registry ALL-IN-ONE;99_ALL_IN_ONE_VOLITELNE;v1.7;RAI-AIO-REG-001_REGISTRY_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf
RAI-FRM-DOP-001;List incidentů;08_DOPLNKOVE_LISTY;v1.7;RAI-FRM-DOP-001_LIST_INCIDENTU_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf
RAI-FRM-DOP-002;List hranic podpory;08_DOPLNKOVE_LISTY;v1.7;RAI-FRM-DOP-002_LIST_HRANIC_PODPORY_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf
RAI-AIO-DOP-001;Doplňkové listy ALL-IN-ONE;99_ALL_IN_ONE_VOLITELNE;v1.7;RAI-AIO-DOP-001_DOPLNKOVE_LISTY_INCIDENTY_HRANICE_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf
RAI-DOC-PROJ-001;One-page projektu;10_METODIKY_A_PODKLADY;v1.5;RAI-DOC-PROJ-001_ONE_PAGE_PROJEKT_2026_v1_5_CONTENT_LOCKED.pdf
RAI-MET-JB-001;Metodika JAILBREAK;10_METODIKY_A_PODKLADY;v1.5;RAI-MET-JB-001_METODIKA_JAILBREAK_v1_5_CONTENT_LOCKED.pdf
