form_uid;form_group;category_code;title;version;file_name;file_path;status;is_current;size_bytes;sha256
RAI-FRM-GDPR-012;GDPR;01_GDPR_A_SOUHLASY;GDPR 012 Partner Externi Subjekt;v1.3;RAI-FRM-GDPR-012_PARTNER_EXTERNI_SUBJEKT_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-012_PARTNER_EXTERNI_SUBJEKT_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;119860;7a8df71cfcc89ad7c74d73ee345517e3c4369c53a16dfa089e21b7b37825f786
RAI-FRM-GDPR-013;GDPR;01_GDPR_A_SOUHLASY;GDPR 013 Odvolani Nebo Omezeni Souhlasu;v1.3;RAI-FRM-GDPR-013_ODVOLANI_NEBO_OMEZENI_SOUHLASU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-013_ODVOLANI_NEBO_OMEZENI_SOUHLASU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;109920;ba4fd3aacbb961365901a99a571d3b50c89871a821d91ac6812cdd71df6cdf0a
RAI-FRM-GDPR-014;GDPR;01_GDPR_A_SOUHLASY;GDPR 014 Zadost Subjektu Udaju;v1.3;RAI-FRM-GDPR-014_ZADOST_SUBJEKTU_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-014_ZADOST_SUBJEKTU_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;120872;888a93f5f89d29d76bded43487814229614dcd60e860eceef2f773afa501b6bd
RAI-FRM-GDPR-015;GDPR;01_GDPR_A_SOUHLASY;GDPR 015 Zaznam O Incidentu;v1.3;RAI-FRM-GDPR-015_ZAZNAM_O_INCIDENTU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-015_ZAZNAM_O_INCIDENTU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;121944;02e65686e32151b87be6678a2b7a8777163487d4cfce8507f490f60558d7a641
RAI-FRM-GDPR-016;GDPR;01_GDPR_A_SOUHLASY;GDPR 016 Anonymizacni Donor Export Karta;v1.3;RAI-FRM-GDPR-016_ANONYMIZACNI_DONOR_EXPORT_KARTA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-016_ANONYMIZACNI_DONOR_EXPORT_KARTA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;89187;83a5b9d53fad47d6fbc78b039d3a08de334d41f00cf3912babc4a9911af55977
RAI-FRM-GDPR-017;GDPR;01_GDPR_A_SOUHLASY;GDPR 017 Archivace Skartace Pristupy;v1.3;RAI-FRM-GDPR-017_ARCHIVACE_SKARTACE_PRISTUPY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-017_ARCHIVACE_SKARTACE_PRISTUPY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;121536;f201f10335cf3f76d12ed2d6b75e32839b50ba2323a9977fde410bb032b8bdd8
REST-EXIT-001;KLIENT;02_KLIENTSKA_SLOZKA;Exit Form;v1.5;REST_ART_EXIT_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/02_KLIENTSKA_SLOZKA/REST_ART_EXIT_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;304482;ac7360932b6c32366b9f60280841b3b6217dda30aaff4fddb69ecdb18bfac641
REST-INTAKE-001;KLIENT;02_KLIENTSKA_SLOZKA;Intake Form;v1.5;REST_ART_INTAKE_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/02_KLIENTSKA_SLOZKA/REST_ART_INTAKE_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;325958;949cef2e924c9feb7b10138da9ef06ce13bfc61cc8da256cb9dfbecb2d2adf76
REST-KNIHA-KLIENTA-001;KLIENT;02_KLIENTSKA_SLOZKA;Kniha Klienta;v1.6;REST_ART_KNIHA_KLIENTA_FILLABLE_v1_6_COMPACT_CONTENT_LOCKED.pdf;/documents/forms/02_KLIENTSKA_SLOZKA/REST_ART_KNIHA_KLIENTA_FILLABLE_v1_6_COMPACT_CONTENT_LOCKED.pdf;active;1;347512;e831f4c0d306f45226c216a0af0e780e13dfa427bd7790323ddd6f8ae5cb36c9
REST-KNIHA-INTERVENCI-001;INTERVENCE;03_INTERVENCE;Kniha Intervenci;v1.5;REST_ART_KNIHA_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/03_INTERVENCE/REST_ART_KNIHA_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;247892;cd65b9cb03d77fe2c1b065d8307ffaa5df62894ae552539abdfde60213191218
REST-KNIHA-KRIZOVYCH-INTERVENCI-001;KRIZE;04_KRIZOVY_REZIM;Kniha Krizovych Intervenci;v1.5;REST_ART_KNIHA_KRIZOVYCH_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/04_KRIZOVY_REZIM/REST_ART_KNIHA_KRIZOVYCH_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;238899;080343baaed8f4dd1adda36ee8d40dbc7bbe924900463839c0c0386b7122e374
REST-FOLLOW-UP-001;EVALUACE;05_EVALUACE_A_FOLLOW_UP;Follow Up Tracking;v1.5;REST_ART_FOLLOW_UP_TRACKING_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/05_EVALUACE_A_FOLLOW_UP/REST_ART_FOLLOW_UP_TRACKING_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;277710;6c53e42a31eca1bb7205aaef0cc4113394b44d1eeb2bdee2abfbe154a294ad27
